X,Y,Z
120000,120000,1471
120030,120000,1480
120060,120000,1454
120090,120000,1386
120120,120000,1357
120150,120000,1328
120180,120000,1316
120210,120000,1292
120240,120000,1268
120270,120000,1258
120300,120000,1238
120330,120000,1222
120360,120000,1195
120390,120000,1159
120420,120000,1127
120450,120000,1087
120480,120000,1051
120510,120000,1044
120540,120000,1055
120570,120000,1030
120600,120000,1038
120630,120000,1016
120660,120000,1000
120690,120000,971
120720,120000,942
120750,120000,915
120780,120000,906
120810,120000,894
120840,120000,868
120870,120000,844
120900,120000,816
120930,120000,793
120960,120000,766
120990,120000,726
121020,120000,701
121050,120000,691
121080,120000,683
121110,120000,677
121140,120000,680
121170,120000,680
121200,120000,666
121230,120000,651
121260,120000,641
121290,120000,630
121320,120000,627
121350,120000,622
121380,120000,615
121410,120000,604
121440,120000,598
121470,120000,586
121500,120000,579
121530,120000,566
121560,120000,553
121590,120000,540
121620,120000,531
121650,120000,514
121680,120000,492
121710,120000,467
121740,120000,447
121770,120000,432
121800,120000,422
121830,120000,418
121860,120000,405
121890,120000,387
121920,120000,375
121950,120000,380
121980,120000,381
122010,120000,382
122040,120000,380
122070,120000,381
122100,120000,389
122130,120000,407
122160,120000,403
122190,120000,390
122220,120000,388
122250,120000,374
122280,120000,369
122310,120000,369
122340,120000,376
122370,120000,380
122400,120000,387
122430,120000,403
122460,120000,427
122490,120000,434
122520,120000,414
122550,120000,416
122580,120000,442
122610,120000,498
122640,120000,529
122670,120000,544
122700,120000,538
122730,120000,523
122760,120000,505
122790,120000,480
122820,120000,469
122850,120000,469
122880,120000,470
122910,120000,472
122940,120000,469
122970,120000,476
123000,120000,485
123030,120000,484
123060,120000,487
123090,120000,503
123120,120000,537
123150,120000,564
123180,120000,586
123210,120000,601
123240,120000,610
123270,120000,623
123300,120000,639
123330,120000,652
123360,120000,669
123390,120000,693
123420,120000,726
123450,120000,758
123480,120000,802
123510,120000,835
123540,120000,868
123570,120000,897
123600,120000,921
123630,120000,950
123660,120000,976
123690,120000,995
123720,120000,1016
123750,120000,1048
123780,120000,1091
123810,120000,1132
123840,120000,1179
123870,120000,1221
123900,120000,1255
123930,120000,1275
123960,120000,1289
123990,120000,1296
124020,120000,1302
124050,120000,1305
124080,120000,1294
124110,120000,1265
124140,120000,1217
124170,120000,1176
124200,120000,1144
124230,120000,1128
124260,120000,1104
124290,120000,1068
124320,120000,1020
124350,120000,971
124380,120000,933
124410,120000,893
124440,120000,862
124470,120000,837
120000,120030,1450
120030,120030,1501
120060,120030,1468
120090,120030,1407
120120,120030,1378
120150,120030,1344
120180,120030,1319
120210,120030,1290
120240,120030,1242
120270,120030,1215
120300,120030,1194
120330,120030,1157
120360,120030,1130
120390,120030,1117
120420,120030,1090
120450,120030,1066
120480,120030,1037
120510,120030,1007
120540,120030,1001
120570,120030,994
120600,120030,980
120630,120030,960
120660,120030,944
120690,120030,920
120720,120030,896
120750,120030,881
120780,120030,866
120810,120030,849
120840,120030,830
120870,120030,809
120900,120030,785
120930,120030,765
120960,120030,736
120990,120030,705
121020,120030,694
121050,120030,685
121080,120030,681
121110,120030,679
121140,120030,675
121170,120030,667
121200,120030,655
121230,120030,640
121260,120030,631
121290,120030,624
121320,120030,619
121350,120030,609
121380,120030,595
121410,120030,587
121440,120030,588
121470,120030,583
121500,120030,579
121530,120030,566
121560,120030,545
121590,120030,537
121620,120030,526
121650,120030,507
121680,120030,482
121710,120030,457
121740,120030,429
121770,120030,416
121800,120030,411
121830,120030,402
121860,120030,391
121890,120030,374
121920,120030,371
121950,120030,371
121980,120030,373
122010,120030,374
122040,120030,375
122070,120030,379
122100,120030,383
122130,120030,391
122160,120030,391
122190,120030,391
122220,120030,388
122250,120030,382
122280,120030,378
122310,120030,378
122340,120030,375
122370,120030,377
122400,120030,387
122430,120030,399
122460,120030,416
122490,120030,416
122520,120030,411
122550,120030,423
122580,120030,447
122610,120030,490
122640,120030,522
122670,120030,529
122700,120030,522
122730,120030,511
122760,120030,496
122790,120030,478
122820,120030,472
122850,120030,475
122880,120030,488
122910,120030,484
122940,120030,477
122970,120030,483
123000,120030,486
123030,120030,496
123060,120030,506
123090,120030,516
123120,120030,536
123150,120030,562
123180,120030,580
123210,120030,594
123240,120030,603
123270,120030,619
123300,120030,636
123330,120030,648
123360,120030,668
123390,120030,697
123420,120030,729
123450,120030,762
123480,120030,802
123510,120030,838
123540,120030,876
123570,120030,909
123600,120030,941
123630,120030,970
123660,120030,991
123690,120030,1013
123720,120030,1048
123750,120030,1080
123780,120030,1120
123810,120030,1162
123840,120030,1215
123870,120030,1255
123900,120030,1281
123930,120030,1293
123960,120030,1298
123990,120030,1303
124020,120030,1308
124050,120030,1307
124080,120030,1298
124110,120030,1273
124140,120030,1235
124170,120030,1201
124200,120030,1171
124230,120030,1145
124260,120030,1124
124290,120030,1084
124320,120030,1041
124350,120030,992
124380,120030,947
124410,120030,915
124440,120030,881
124470,120030,853
